
감삼네거리1 (02275)	3967958.741	459314.9835	
감삼네거리2 (00935)	3967905.775	459291.1952	
감삼중학교건너 (00912)	3967087.496	458937.6759	
감삼중학교앞 (00911)	3967095.601	458927.823	
감삼초등학교건너 (00910)	3967303.908	459058.0723	
감삼초등학교앞 (00909)	3967279.681	459029.9244	
갑제동회관 (03016)	3965082.351	478677.0626	
갑제동회관 건너 (03017)	3965104.773	478686.7987	
갑제입구 (0)	3963726.844	479105.801	
갓골건너 (01613)	3974665.712	469294.0867	
갓골앞 (01612)	3974657.399	469296.4941	
갓바위 (03599)	3980712.461	475300.0249	
갓바위입구 (0)	3979405.103	481317.2846	
갓바위종점 (0)	3982512.721	476571.2546	
갓바위종점(경산방향) (0)	3982492.493	476579.9028	
갓바위주차장(갓바위방향) (0)	3982389.85	477366.1576	
갓바위주차장(경산방향) (0)	3982382.898	477367.9192	
강남약국건너 (02048)	3970708.257	464859.4847	
강남약국앞1 (02051)	3970633.55	464833.4059	
강남약국앞2 (02050)	3970742.903	464922.1147	
강동중·고등학교 (01668)	3969189.493	475525.2482	
강동중·고등학교건너 (01667)	3969164.573	475511.1409	
강변동서마을건너 (02615)	3970161.912	471012.2302	
강변동서마을앞 (01060)	3970119.641	471008.2156	
강북중학교건너 (01552)	3977278.368	460836.0079	
강북중학교앞 (01553)	3977299.687	460825.223	
강산아파트건너 (00166)	3972387.764	467624.3801	
강산아파트앞 (05053)	3972412.604	467586.4228	
강정(종점) (02922)	3966653.836	451593.542	
강정보(디아크문화관)건너 (02901)	3966688.506	451743.7804	
강정보(디아크문화관)입구 (02900)	3966678.666	451744.2101	
강창교1 (02602)	3967957.189	452048.1827	
강창교2 (02897)	3967967.139	452089.1667	
강창역(1번출구) (01193)	3967803.553	452784.1794	
강창역(2번출구) (02461)	3967763.346	452820.7211	
강창하이츠 (03132)	3968784.656	451290.5601	
강학리1(경산방향) (0)	3979467.248	480823.7747	
강학리2(경산방향) (0)	3979473.839	480538.4524	
강학리2(능성방향) (0)	3979480.628	480526.5653	
강학리3(경산방향) (0)	3979540.435	479618.9152	
개화대 (0)	3974745.721	433471.2983	
개화대 (0)	3974705.364	433542.3675	
거동교1 (02411)	3978147.683	459651.9309	
거동교2 (01475)	3978152.662	459718.0819	
건들바위건너 (01030)	3968212.484	463753.9765	
건들바위앞 (01035)	3968301.923	463749.3514	
건안ENG (0)	3969158.531	484757.6948	
건영아파트건너 (05046)	3972869.381	465266.5202	
건영캐스빌건너 (01191)	3969518.435	454440.0588	
건영캐스빌앞 (01185)	3969434.923	454300.0482	
검단119안전센터 (00342)	3973694.302	465257.1148	
검단동대구축협앞 (00303)	3974647.099	466070.605	
검단동주민센터건너 (01508)	3974361.949	466231.3826	
검단동주민센터앞 (00306)	3974359.07	466246.4789	
검단상가아파트건너 (00301)	3974761.651	466283.4849	
검단상가아파트앞 (00300)	3974750.74	466246.3461	
검단유성아파트(서편) (00310)	3973697.285	465586.64	
검단유성아파트건너 (00309)	3973722.279	465771.3807	
검단유성아파트앞 (02096)	3973717.546	465746.7304	
경기장네거리1 (01685)	3965461.026	471534.8408	
경기장네거리2 (01507)	3965498.921	471575.6158	
경대교2 (02754)	3971356.353	464172.3969	
경대교건너 (00247)	3971336.2	463935.9913	
경대교앞 (00248)	3971381.625	463970.6866	
경대사대부설고등학교앞 (02203)	3968876.201	463937.5571	
경대아파트건너 (00318)	3971750.169	465473.5015	
경대아파트앞 (00317)	3971708.547	465452.3786	
경덕여고 (03075)	3968931.547	459393.7117	
경동1리(갈고개방향) (0)	3960661.265	485866.6267	
경동1리(남산방향) (0)	3960665.622	485873.4138	
경동2리(남산방향) (0)	3959807.494	485886.0183	
경동2리복지회관 (0)	3959892.754	485857.8253	
경동산업앞 (00196)	3974180.061	464995.5858	
경명여고건너 (00150)	3970548.231	463934.3978	
경명여고앞 (00400)	3970594.835	463773.7363	
경북개발공사 (0)	3964863.589	475356.6013	
경북개발공사 건너 (0)	3964858.391	475372.7448	
경북개발공사(고용지원센터) (05580)	3964753.173	475215.1379	
경북개발공사(고용지원센터)건너 (05579)	3964834.531	475154.5821	
경북고교종점 (00006)	3966845.542	467674.7044	
경북고등학교건너 (02009)	3966678.313	467377.6843	
경북고등학교앞 (02006)	3966680.781	467403.6748	
경북고등학교종점건너 (00005)	3966674.327	467705.2778	
경북공고건너 (01022)	3968353.734	462311.107	
경북공고앞 (01028)	3968268.115	462331.9904	
경북공무원교육원1 (01778)	3979221.114	460078.0481	
경북공무원교육원2 (01793)	3979185.336	459996.4263	
경북교통 (01276)	3969613.466	474147.9631	
경북교통앞 (01275)	3969596.309	474158.5217	
경북기계공고건너 (01418)	3964190.149	458720.2828	
경북기계공고앞 (02266)	3964244.631	458732.0029	
경북농업기술원건너 (01319)	3979257.052	460389.7889	
경북농업기술원앞 (01777)	3979304.635	460323.8704	
경북대체육센터건너 (00349)	3971952.23	464493.505	
경북대체육센터앞 (00226)	3971832.445	464336.0739	
경북대학교병원건너 (00632)	3969136.448	464179.0368	
경북대학교병원앞 (00621)	3969072.949	464181.4142	
경북대학교북문건너 (02104)	3972152.09	464772.776	
경북대학교북문앞 (02105)	3972164.189	464812.7604	
경북대학교서문건너 (02705)	3971709.61	464159.4025	
경북대학교서문앞 (02693)	3971689.58	464171.383	
경북대학교정문건너 (00315)	3971259.459	465205.5012	
경북대학교정문앞 (00316)	3971158.503	465096.0942	
경북대학교치과병원 (02191)	3968893.563	464021.1464	
경북도청건너 (00890)	3971903.63	463702.5081	
경북도청앞 (05042)	3971916.04	463727.5943	
경북식당(앞) (0)	3993496.253	458445.524	
경북아파트건너(고산동) (01682)	3966492.471	472888.2276	
경북아파트건너(신천동) (00467)	3970333.83	466859.3049	
경북아파트앞(고산동) (01651)	3966480.067	472791.3673	
경북아파트앞(신천동) (00462)	3970301.287	466857.0608	
경북여상건너 (02236)	3967960.321	463053.4393	
경북여상앞 (02221)	3968012.539	463025.3396	
경북외국어대학 (01636)	3979506.28	460568.6271	
경북자동차고 (0)	3964208.151	483738.3972	
경북자동차고 건너 (0)	3964197.013	483759.1784	
경북크랑크 (01802)	3965079.031	455511.6831	
경산 묘목 단지 (0)	3970121.011	480334.168	
경산경찰서 (05591)	3964404.633	476924.274	
경산고 (05572)	3964364.839	477257.0608	
경산고 건너 (05573)	3964303.133	477409.5198	
경산과학고 건너 (0)	3964148.742	479008.2709	
경산과학고 앞 (0)	3964164.496	479029.6175	
경산네거리(대구방향) (05551)	3965669.387	476028.9423	
경산네거리(영대교위) (0)	3965598.765	475863.9583	
경산묘목단지 (0)	3969889.07	480234.2276	
경산보건소 (0)	3964456.842	476824.8538	
경산삼성병원 (11177)	3962731.593	476408.1076	
경산세무소 (0)	3963759.021	478312.4485	
경산시외버스정류장 (05593)	3964627.214	476246.6052	
경산시장 (05587)	3964387.34	476162.1789	
경산시장 건너 (05588)	3964399.685	476145.5456	
경산시청 (05590)	3964454.408	476477.2406	
경산시청 건너 (05589)	3964442.458	476601.7231	
경산시청맞은편 (0)	3964597.48	476755.4593	
경산시청앞 (0)	3964616.838	476728.7221	
경산실내체육관 (0)	3963999.744	476817.4351	
경산실내체육관 건너 (0)	3963997.736	476773.8144	
경산역 (05583)	3964113.059	475458.3206	
경산우체국 (0)	3963562.47	478175.5433	
경산우체국 건너 (0)	3963699.545	478245.9451	
경산중앙병원 (07775)	3962838.469	476555.2317	
경산중앙병원 건너 (07776)	3962911.76	476568.4564	
경산초교 (05645)	3963500.534	476420.6755	
경산초교건너 (05646)	3963432.772	476400.1637	
경상감영공원건너 (00518)	3969912.991	463389.974	
경상감영공원앞 (00517)	3970023.339	463394.6173	
경상북도농업인회관 (01789)	3979241.056	460163.7691	
경상여자고등학교건너 (00296)	3973056.559	462796.5201	
경상여자고등학교앞 (00561)	3973036.527	462763.8834	
경서중학교건너 (01818)	3959827.223	448867.3432	
경서중학교앞 (02630)	3959802.694	448861.6096	
경신고등학교건너 (02027)	3968369.59	467247.7621	
경신고등학교앞 (02024)	3968332.636	467292.1413	
경운대 (05762)	4002051.25	452076.9184	
경운대종점 (05761)	4002102.012	452067.8491	
경운초등학교건너 (01330)	3968863.005	459716.4443	
경운초등학교앞 (01329)	3968834.953	459645.8304	
경원고등학교건너 (01143)	3969006.808	457140.5883	
경원고등학교앞 (01144)	3969026.91	457131.6494	
경일대 (05563)	3972906.041	482110.0289	
경일대 건너 (05564)	3972875.533	482129.3811	
경일대정문 (05617)	3973140.574	481992.0417	
경일대정문 건너 (0)	3973193.109	481990.353	
경일여자중학교건너 (02393)	3966020.041	463783.5607	
경일여자중학교앞 (00390)	3965989.851	463779.6115	
경주최씨종가(종점) (01596)	3973583.662	471718.5504	
경주최씨종가1 (01594)	3973201.909	471674.9874	
경주최씨종가2 (01595)	3973038.243	471633.9103	
경진테크빌건너 (00125)	3970119.563	462775.6819	
경진테크빌앞 (00129)	3970148.687	462795.3827	
경창산업 (01807)	3965575.945	455490.9141	
경희강재건너 (01420)	3965925.222	456342.6215	
경희강재앞 (01439)	3965899.205	456389.1116	
계남2리 (0)	3961888.934	483134.4137	
계남2리(원당방향) (0)	3961883.459	483121.6387	
계남동입구 (0)	3963232.659	482115.1471	
계남입구(경산방향) (0)	3963459.174	482741.6788	
계남입구(자인방향) (0)	3963443.365	482745.3416	
계당1리(경산방향) (0)	3976286.442	486439.7075	
계당1리(상암방향) (0)	3976285.343	486448.376	
계당리1(경산방향) (05638)	3975712.032	486686.2065	
계당리2(경산방향) (05765)	3976079.69	487558.1424	
계당리3(금호방향) (03008)	3975694.195	486672.0168	
계림리회관 (0)	3966001.111	482852.9782	
계림리회관 건너 (0)	3965997.318	482847.4618	
계명대대명캠퍼스후문건너 (03144)	3967565.493	462049.9317	
계명대역(1번출구) (01159)	3967638.885	453961.245	
계명대역(2번출구) (05013)	3967618.711	453827.4279	
계명대학교대명캠퍼스건너 (02163)	3968245.087	462080.4909	
계명대학교대명캠퍼스앞 (02166)	3968182.518	462151.1438	
계명대학교대명캠퍼스후문앞 (03142)	3967600.163	462114.3353	
계명대학교동문건너1 (01151)	3968165.947	454157.9641	
계명대학교동문건너2 (00898)	3967871.828	454151.0258	
계명대학교동문앞 (05012)	3967915.996	454112.3992	
계명대학교정문건너 (01161)	3967679.576	453483.5948	
계명대학교정문앞 (01160)	3967724.334	453492.4927	
계명문화대학건너 (05011)	3968397.264	454158.0885	
계명문화대학앞 (02084)	3968375.622	454121.1728	
계상리 (0)	3967458.862	435319.7159	
계상리 (0)	3967471.816	435322.9714	
계양시장 (0)	3963762.92	477586.2588	
계양시장 건너 (0)	3963777.184	477583.99	
계양우방A (0)	3963396.136	478035.1686	
계양우방A 건너 (0)	3963376.799	478043.2669	
계양주공A (05574)	3963885.739	477684.0622	
계양주공A 건너 (05575)	3963884	477700.598	
계전1리(영천방향) (0)	3978562.208	485201.5703	
계전1리(와촌방향) (0)	3978611.294	485166.8892	
계전리(영천방향) (0)	3979644.539	484618.6518	
계전리(와촌방향) (0)	3979571.675	484672.1864	
계지교(경산방향) (0)	3985003.304	482781.7586	
계지교(신녕방향) (0)	3984988.962	482784.6886	
계포교회 (0)	3984039.562	483563.2882	
계포교회 건너 (0)	3984034.524	483558.8121	
고곡1리 (0)	3996272.879	461939.7221	
고곡1리 (0)	3996276.7	461928.3082	
고곡2리 (0)	3995612.103	462073.755	
고곡2리 (0)	3995599.587	462095.2134	
고곡보건지소 (0)	3994793.424	462326.4929	
고곡보건지소 (0)	3994954.5	462296.04	
고곡초등학교 (0)	3993909.377	463165.5356	
고려신경과병원건너 (00763)	3965495.119	461291.7625	
고려신경과병원앞 (00774)	3965499.757	461282.5385	
고령군청앞 (0)	3953847.619	433525.8209	
고령시외버스터미널건너 (03109)	3954180.349	434051.3697	
고령시외버스터미널앞 (03107)	3954189.114	434080.8614	
